"quartile","item","item_acc","item_total_n","item_total_success","item_binomial_p","sig_above","sig_below","star_above","star_below","star"
2,"241 v 421",0.545454545454545,11,6,1,"no","no"," "," "," "
2,"256 v 526",0.727272727272727,11,8,0.2266,"no","no"," "," "," "
2,"26 v 73",0.55421686746988,83,46,0.38,"no","no"," "," "," "
2,"261 v 162",0.818181818181818,11,9,0.0654,"no","no"," "," "," "
2,"273 v 237",0.818181818181818,11,9,0.0654,"no","no"," "," "," "
2,"273 v 873",0.333333333333333,6,2,0.6875,"no","no"," "," "," "
2,"274 v 234",0.333333333333333,6,2,0.6875,"no","no"," "," "," "
2,"274 v 273",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
2,"278 v 578",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
2,"285 v 258",0.454545454545455,11,5,1,"no","no"," "," "," "
2,"3 v 7",0.837209302325581,86,72,0,"yes","no","*"," ","*"
2,"30 v 60",0.626506024096386,83,52,0.0275,"yes","no","*"," ","*"
2,"35 v 53",0.384615384615385,13,5,0.5811,"no","no"," "," "," "
2,"350 v 305",0.333333333333333,3,1,1,"no","no"," "," "," "
2,"351 v 451",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
2,"352 v 358",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
2,"36 v 306",0.333333333333333,3,1,1,"no","no"," "," "," "
2,"364 v 436",0.636363636363636,11,7,0.5488,"no","no"," "," "," "
2,"402 v 42",0.666666666666667,3,2,1,"no","no"," "," "," "
2,"4208 v 4820",0.444444444444444,9,4,1,"no","no"," "," "," "
2,"437 v 137",0.5,6,3,1,"no","no"," "," "," "
2,"451 v 459",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
2,"459 v 945",0.545454545454545,11,6,1,"no","no"," "," "," "
2,"4620 v 4520",0.540983606557377,61,33,0.6089,"no","no"," "," "," "
2,"475 v 574",0.454545454545455,11,5,1,"no","no"," "," "," "
2,"492 v 294",0.454545454545455,11,5,1,"no","no"," "," "," "
2,"492 v 592",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
2,"5035 v 5605",0.222222222222222,9,2,0.1797,"no","no"," "," "," "
2,"513 v 517",0.333333333333333,6,2,0.6875,"no","no"," "," "," "
2,"534 v 345",0.636363636363636,11,7,0.5488,"no","no"," "," "," "
2,"536 v 5362",0.888888888888889,9,8,0.0391,"yes","no","*"," ","*"
2,"585 v 525",0.583333333333333,96,56,0.1253,"no","no"," "," "," "
2,"587 v 857",0.454545454545455,11,5,1,"no","no"," "," "," "
2,"589 v 958",0.636363636363636,11,7,0.5488,"no","no"," "," "," "
2,"6 v 60",0.692307692307692,13,9,0.2668,"no","no"," "," "," "
2,"6 v 8",0.704918032786885,61,43,0.0019,"yes","no","*"," ","*"
2,"6040 v 6400",0.222222222222222,9,2,0.1797,"no","no"," "," "," "
2,"612 v 642",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
2,"613 v 361",0.545454545454545,11,6,1,"no","no"," "," "," "
2,"64 v 604",0.333333333333333,3,1,1,"no","no"," "," "," "
2,"651 v 621",0.333333333333333,6,2,0.6875,"no","no"," "," "," "
2,"653 v 643",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
2,"670 v 270",0.506024096385542,83,42,1,"no","no"," "," "," "
2,"681 v 618",0.636363636363636,11,7,0.5488,"no","no"," "," "," "
2,"683 v 863",0.636363636363636,11,7,0.5488,"no","no"," "," "," "
2,"690 v 609",0.444444444444444,9,4,1,"no","no"," "," "," "
2,"693 v 613",0.666666666666667,6,4,0.6875,"no","no"," "," "," "
2,"72 v 27",0.510416666666667,96,49,0.9188,"no","no"," "," "," "
2,"7300 v 7003",0.222222222222222,9,2,0.1797,"no","no"," "," "," "
