"quartile","item","item_acc","item_total_n","item_total_success","item_binomial_p","sig_above","sig_below","star_above","star_below","star"
3,"36 v 306",0.884057971014493,69,61,0,"yes","no","*"," ","*"
3,"362 v 326",0.78125,32,25,0.0021,"yes","no","*"," ","*"
3,"402 v 42",0.840579710144927,69,58,0,"yes","no","*"," ","*"
3,"485 v 4085",0.375,32,12,0.2153,"no","no"," "," "," "
3,"5109 v 5910",0.875,32,28,0,"yes","no","*"," ","*"
3,"64 v 604",0.920792079207921,101,93,0,"yes","no","*"," ","*"
3,"670 v 67",0.926829268292683,82,76,0,"yes","no","*"," ","*"
3,"677 v 766",0.96875,32,31,0,"yes","no","*"," ","*"
3,"7014 v 7804",0.71875,32,23,0.0201,"yes","no","*"," ","*"
3,"807 v 78",0.797101449275362,69,55,0,"yes","no","*"," ","*"
3,"85 v 850",0.92,50,46,0,"yes","no","*"," ","*"
3,"8503 v 8350",0.6875,32,22,0.0501,"no","no"," "," "," "
3,"900 v 99",1,32,32,0,"yes","no","*"," ","*"
4,"1000 v 100",1,44,44,0,"yes","no","*"," ","*"
4,"1002 v 1020",0.954545454545455,44,42,0,"yes","no","*"," ","*"
4,"101 v 100",1,26,26,0,"yes","no","*"," ","*"
4,"102 v 120",0.923076923076923,26,24,0,"yes","no","*"," ","*"
4,"105 v 125",1,93,93,0,"yes","no","*"," ","*"
4,"11 v 24",0.99009900990099,101,100,0,"yes","no","*"," ","*"
4,"12 v 22",1,93,93,0,"yes","no","*"," ","*"
4,"14 v 41",1,23,23,0,"yes","no","*"," ","*"
4,"15 v 5",1,101,101,0,"yes","no","*"," ","*"
4,"189 v 198",1,23,23,0,"yes","no","*"," ","*"
4,"1900 v 1009",1,23,23,0,"yes","no","*"," ","*"
4,"2 v 8",1,93,93,0,"yes","no","*"," ","*"
4,"201 v 21",0.974358974358974,78,76,0,"yes","no","*"," ","*"
4,"206 v 260",0.961538461538462,78,75,0,"yes","no","*"," ","*"
4,"2060 v 2006",1,23,23,0,"yes","no","*"," ","*"
4,"3 v 7",1,8,8,0.0078,"yes","no","*"," ","*"
4,"3070 v 307",1,23,23,0,"yes","no","*"," ","*"
4,"350 v 305",0.98019801980198,101,99,0,"yes","no","*"," ","*"
4,"36 v 306",0.987179487179487,78,77,0,"yes","no","*"," ","*"
4,"362 v 326",1,23,23,0,"yes","no","*"," ","*"
4,"402 v 42",0.974358974358974,78,76,0,"yes","no","*"," ","*"
4,"485 v 4085",0.739130434782609,23,17,0.0347,"yes","no","*"," ","*"
4,"5109 v 5910",1,23,23,0,"yes","no","*"," ","*"
4,"64 v 604",1,101,101,0,"yes","no","*"," ","*"
4,"670 v 67",0.989247311827957,93,92,0,"yes","no","*"," ","*"
4,"677 v 766",1,23,23,0,"yes","no","*"," ","*"
4,"7014 v 7804",1,23,23,0,"yes","no","*"," ","*"
4,"807 v 78",0.987179487179487,78,77,0,"yes","no","*"," ","*"
4,"85 v 850",1,70,70,0,"yes","no","*"," ","*"
4,"8503 v 8350",1,23,23,0,"yes","no","*"," ","*"
4,"900 v 99",1,23,23,0,"yes","no","*"," ","*"
