"within_id"
"8/30/05 5/18/10 F Lab"
"2/11/05 7/16/09 M Lab"
"8/22/05 1/21/10 F Lab"
"7/15/05 5/20/10 F Lab"
"10/25/04 7/23/09 M Lab"
"8/4/04 1/19/10 F Lab"
"8/11/03 5/20/10 M Lab"
"6/16/04 7/23/09 F Lab"
"9/8/05 1/19/10 M Lab"
"9/17/03 5/20/10 F Lab"
"1/31/06 7/23/09 M Lab"
"5/6/04 1/15/10 F Lab"
"9/13/03 5/28/10 F Lab"
"3/2/04 7/23/09 F Lab"
"12/15/03 1/14/10 F Lab"
"9/12/03 6/2/10 F Lab"
"3/28/06 7/17/09 F Lab"
"9/22/05 2/2/10 F Lab"
"9/16/03 6/2/10 M Lab"
"4/13/06 7/17/09 F Lab"
"7/20/08 5/29/13 NA Lab"
"11/16/04 2/4/10 F Lab"
"9/9/03 6/2/10 M Lab"
"1/5/03 7/17/09 M Lab"
"7/9/08 5/30/13 NA Lab"
"10/1/03 2/4/10 M Lab"
"1/30/04 6/3/10 F Lab"
"8/4/03 8/24/09 M Lab"
"7/9/08 6/2/13 NA Lab"
"4/26/05 2/10/10 M Lab"
"2/14/04 6/17/10 F Lab"
"12/4/02 9/9/09 M Lab"
"12/3/05 2/9/10 M Lab"
"6/21/04 6/30/10 M Lab"
"8/22/03 8/30/09 F Lab"
"10/8/05 2/8/10 F Lab"
"6/4/04 7/2/10 F Lab"
"8/9/03 9/9/09 F Lab"
"11/19/05 2/8/10 F Lab"
"6/9/04 7/2/10 M Lab"
"5/25/03 9/11/09 M Lab"
"8/23/05 2/8/10 M Lab"
"6/29/04 7/7/10 F Lab"
"9/11/03 9/15/09 M Lab"
"9/28/05 2/5/10 F Lab"
"7/29/04 8/27/10 M Lab"
"6/11/03 9/28/09 F Lab"
"2/10/06 2/19/10 F Lab"
"5/8/05 8/26/10 F Lab"
"6/11/03 9/29/09 F Lab"
"4/15/05 2/25/10 F Lab"
"1/30/06 8/26/10 M Lab"
"6/20/03 9/30/09 F Lab"
"8/16/04 3/23/10 F Lab"
"5/26/04 8/30/10 F Lab"
"5/7/04 9/1/10 F Lab"
"3/24/05 3/29/10 F Lab"
"10/25/04 9/2/10 F Lab"
"5/30/05 3/30/10 M Lab"
"8/2/04 9/7/10 M Lab"
"5/1/05 3/31/10 M Lab"
"3/24/04 9/7/10 F Lab"
"12/13/03 4/1/10 M Lab"
"2/23/05 9/14/10 F Lab"
"9/12/03 4/10/10 M Lab"
"7/27/04 9/14/10 F Lab"
"5/20/05 4/11/10 F Lab"
"3/12/04 9/15/10 F Lab"
"5/8/05 4/13/10 F Lab"
"7/8/04 9/15/10 M Lab"
"6/4/05 4/14/10 M Lab"
"1/6/04 9/15/10 F Lab"
"3/15/05 4/27/10 M Lab"
"7/9/04 9/16/10 M Lab"
"7/8/05 9/20/10 M Lab"
"3/1/05 4/29/10 F Lab"
"6/21/05 9/20/10 M Lab"
"6/29/06 9/21/10 F Lab"
"7/14/04 9/21/10 M Lab"
"3/28/05 5/7/10 F Lab"
"6/19/06 9/22/10 F Lab"
"7/28/03 5/7/10 F Lab"
"7/8/05 9/22/10 F Lab"
"7/10/08 6/11/13 NA Lab"
"7/7/06 9/27/10 M Lab"
"8/4/09 6/11/13 NA Lab"
"4/28/04 5/13/10 M Lab"
"1/14/04 9/24/10 M Lab"
"5/6/09 6/11/13 NA Lab"
"9/9/03 5/18/10 M Lab"
"12/6/05 9/24/10 M Lab"
"6/23/05 9/27/10 M Lab"
"6/4/04 9/28/10 F Lab"
"7/3/05 9/29/10 M Lab"
"7/15/05 9/29/10 F Lab"
"6/22/06 10/5/10 F Lab"
"12/13/03 10/5/10 M Lab"
"4/15/06 10/6/10 M Lab"
"9/28/06 10/7/10 M Lab"
"6/21/05 10/7/10 M Lab"
"6/22/06 10/14/10 F Lab"
"3/19/06 10/18/10 M Lab"
"4/3/06 10/15/10 F Lab"
"9/29/06 10/14/10 M Lab"
"1/28/06 10/26/10 F Lab"
"8/29/06 10/20/10 F Lab"
"9/8/06 10/20/10 F Lab"
"10/4/06 10/22/10 F Lab"
"9/13/04 10/25/10 F Lab"
"4/9/08 5/28/13 F PLE"
"3/17/09 5/28/13 M PLE"
"5/21/09 5/28/13 F PLE"
"7/23/09 5/28/13 M PLE"
"7/23/09 5/28/13 F PLE"
"9/4/09 5/28/13 M PLE"
"10/10/09 5/28/13 F PLE"
"11/16/09 5/28/13 F PLE"
"12/19/09 5/28/13 M PLE"
"12/21/09 5/28/13 M PLE"
"1/1/09 5/28/13 F PLE"
"11/9/08 5/29/13 F PLE"
"11/12/08 6/2/13 F KC"
"2/11/10 6/2/13 M KC"
"8/3/08 6/2/13 M KC"
"10/8/07 6/2/13 F KC"
"4/30/09 6/3/13 M KC"
"1/8/08 6/3/13 F KC"
"1/15/08 6/3/13 F KC"
"12/4/08 6/3/13 F KC"
"12/4/08 6/3/13 M KC"
"5/19/09 6/5/13 M Carousel"
"3/20/08 6/5/13 M Carousel"
"10/2/07 6/5/13 F Carousel"
"6/7/08 6/5/13 F Carousel"
"10/20/08 6/5/13 F Carousel"
"10/5/08 6/5/13 M Carousel"
"3/21/08 6/5/13 F Carousel"
"10/28/08 6/5/13 F KC"
"12/16/07 6/5/13 M KC"
"11/18/09 6/10/13 M Carousel"
"6/27/07 6/10/13 M Carousel"
"1/29/08 6/10/13 F Carousel"
"2/18/07 6/10/13 M Carousel"
"7/15/08 6/10/13 F Carousel"
"6/15/05 6/10/13 M Carousel"
"12/22/09 6/12/13 F CV"
"12/3/09 6/12/13 F CV"
"11/5/07 6/12/13 F CV"
"2/23/09 6/12/13 M CV"
"9/24/08 6/12/13 F CV"
"11/5/08 6/12/13 F CV"
"11/22/08 6/13/13 F CV"
"4/22/08 6/13/13 M CV"
"7/13/09 6/13/13 M CV"
"6/28/10 6/13/13 M CV"
"10/24/08 6/16/13 F UM"
"5/20/09 6/16/13 F UM"
"2/12/09 6/16/13 M UM"
"8/25/09 6/16/13 F UM"
"7/14/09 6/16/13 M UM"
"1/20/09 6/16/13 M UM"
"10/9/06 6/19/13 M UM"
"8/15/07 6/19/13 F UM"
"11/20/07 6/19/13 F UM"
"3/29/10 6/20/13 F Prep School"
"9/21/09 6/20/13 M Prep School"
"8/2/09 6/20/13 F Prep School"
"12/12/09 6/20/13 M Prep School"
"7/6/08 6/20/13 F Prep School"
"4/27/08 6/20/13 F Prep School"
"11/27/07 6/23/13 F Prep School"
"12/20/08 6/24/13 F Prep School"
"10/29/10 6/24/13 F Prep School"
"7/24/10 6/24/13 M Prep School"
"12/8/08 6/23/13 F Prep School"
"5/18/09 6/23/13 M Prep School"
"2/12/08 6/23/13 F Prep School"
"1/26/09 6/23/13 M Prep School"
"7/3/07 6/23/13 M Prep School"
"9/11/07 6/23/13 M Prep School"
"10/6/09 6/23/13 M Prep School"
"2/20/10 6/23/13 F Prep School"
"1/18/09 6/23/13 F Prep School"
"12/1/10 7/1/13 F Prep School"
"2/25/09 7/1/13 M Prep School"
"7/11/09 7/1/13 F Prep School"
"8/22/07 7/1/13 M Prep School"
"7/28/08 7/22/13 M Harmony"
"10/3/06 7/22/13 M Harmony"
"5/8/08 7/22/13 M Harmony"
"2/20/08 7/22/13 F Harmony"
"7/23/07 7/22/13 M Harmony"
"4/25/08 7/24/13 F Harmony"
"4/16/08 7/24/13 M Harmony"
